Institue,Branch,Quota,Category,Gender,Opening,Closing
Indian Institute  of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Neutral,17,42
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Neutral,25,42
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Neutral,42,42
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Neutral,42,42
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Neutral,43,43
Indian Institute  of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,43,43
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,SC (PwD),Neutral,27,44
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,44,44
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Neutral,45,45
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",OS,ST (PwD),Neutral,45,45
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Neutral,45,45
"National Institute of Technology, Warangal","Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",HS,SC (PwD),Neutral,45,45
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Female,46,46
"School of Planning & Architecture, New Delhi","Architecture  (5 Years, Bachelor of Architecture)",AI,OPEN (PwD),Neutral,1,47
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC (PwD),Neutral,47,47
"School of Planning & Architecture, New Delhi","Architecture  (5 Years, Bachelor of Architecture)",AI,ST,Neutral,12,48
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female,48,48
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC (PwD),Neutral,48,48
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Neutral,48,48
Indian Institute  of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Neutral,49,49
